Adsorbate 1,Adsorbate 2,Gco DFT,Gc-c_Final,Gc-c_Final,Gc-c_Final,Gc-c_Final,Gc-c_Final,Averaged Gco
SH2,CH,,0.104781345,0.112139508,0.221732467,0.179843888,0.043509346,0.132401311
SH2,CH2,0.18746,0.18746,0.18746,0.18746,0.18746,0.18746,0.18746
SH2,CH3,,0.259248734,0.20994471,0.224923387,0.235373065,0.189317107,0.223761401
SH2,S,,0.258828431,0.262350589,0.213117167,0.238730878,0.181055427,0.230816498
SH2,SH,0.16409,0.16409,0.16409,0.16409,0.16409,0.16409,0.16409
SH2,SH2,,0.189568833,0.175793067,0.193404958,0.189460546,0.140497208,0.177744922
SH2,F,0.24343,0.24343,0.24343,0.24343,0.24343,0.24343,0.24343
SH2,Cl,,0.343750387,0.360425919,0.302952737,0.307554781,0.236316234,0.310200012
SH2,Br,,0.247255549,0.235310167,0.229863793,0.254077703,0.206240579,0.234549558
SH2,I,,0.236891404,0.259676874,0.253545791,0.274519712,0.285395116,0.262005779
F,O,,0.184165627,0.161993057,0.19130598,0.18569167,0.140868858,0.172805038
F,OH,0.26767,0.26767,0.26767,0.26767,0.26767,0.26767,0.26767
F,N,,0.087262362,0.057350498,0.063283876,0.131496951,0.068593763,0.08159749
F,NH,,0.152127177,0.146749288,0.127808809,0.083662257,0.113057561,0.124681018
F,NH2,,0.265763849,0.28453657,0.265175611,0.246455163,0.263786793,0.265143597
F,NH3,,0.289450079,0.274899483,0.203458965,0.255470276,0.264332026,0.257522166
F,C,,0.195413157,0.163710058,0.159637392,0.186392948,0.126762658,0.166383243
F,CH,0.02152,0.02152,0.02152,0.02152,0.02152,0.02152,0.02152
F,CH2,,0.162823901,0.160150081,0.152388945,0.166633338,0.188516334,0.16610252
F,CH3,0.24301,0.24301,0.24301,0.24301,0.24301,0.24301,0.24301
F,S,,0.201476634,0.198416427,0.18943724,0.231454194,0.180979103,0.200352719
F,SH,0.21162,0.21162,0.21162,0.21162,0.21162,0.21162,0.21162
F,SH2,0.24343,0.24343,0.24343,0.24343,0.24343,0.24343,0.24343
F,F,,0.249997303,0.271174729,0.282395691,0.28701514,0.239472315,0.266011035
F,Cl,,0.320101887,0.307085901,0.321026832,0.34472689,0.260412902,0.310670882
F,Br,,0.32233718,0.307361007,0.33300209,0.35309118,0.290728301,0.321303952
F,I,,0.321965635,0.308383286,0.347646505,0.344822586,0.30216977,0.324997556
